model_key,lc_n_per_class,rep,image_accuracy,image_loss,patch_accuracy,patch_loss,best_epoch,best_val_acc
mpatch_v1e_lite_lc05a,1,a,0.38,1.8717544078826904,0.392,1.9193716049194336,0,0.405833
mpatch_v1e_lite_lc05b,1,b,0.46,11.868658065795898,0.431,12.603550910949707,330,0.438333
mpatch_v1e_lite_lc05c,1,c,0.41,7.931960582733154,0.37833333333333335,8.655106544494629,132,0.4925
mpatch_v1e_lite_lc05d,1,d,0.435,4.902894496917725,0.4083333333333333,5.236617565155029,54,0.56
mpatch_v1e_lite_lc10a,2,a,0.515,4.6675639152526855,0.5093333333333333,4.958590030670166,96,0.538333
mpatch_v1e_lite_lc10b,2,b,0.645,3.3684582710266113,0.645,3.822847366333008,181,0.553333
mpatch_v1e_lite_lc10c,2,c,0.445,4.917028427124023,0.43233333333333335,5.435792446136475,157,0.5475
mpatch_v1e_lite_lc10d,2,d,0.44,4.990777969360352,0.409,5.379612445831299,135,0.528333
mpatch_v1e_lite_lc15a,3,a,0.59,4.6791911125183105,0.5633333333333334,5.602879047393799,463,0.579167
mpatch_v1e_lite_lc15b,3,b,0.615,2.212557315826416,0.5706666666666667,2.7685298919677734,303,0.5575
mpatch_v1e_lite_lc15c,3,c,0.675,3.203172206878662,0.6326666666666667,4.112483501434326,713,0.581667
mpatch_v1e_lite_lc15d,3,d,0.7,2.6418750286102295,0.636,3.4587838649749756,989,0.538333
mpatch_v1e_lite_lc20a,4,a,0.695,2.8331692218780518,0.6676666666666666,3.342306613922119,466,0.650833
mpatch_v1e_lite_lc20b,4,b,0.76,1.8554751873016357,0.7076666666666667,2.4755005836486816,472,0.6925
mpatch_v1e_lite_lc20c,4,c,0.765,1.6469639539718628,0.7176666666666667,2.105293035507202,298,0.653333
mpatch_v1e_lite_lc20d,4,d,0.64,2.7979743480682373,0.6076666666666667,3.3657002449035645,841,0.635833
mpatch_v1e_lite_lc25a,5,a,0.695,2.912365674972534,0.6456666666666667,3.560370445251465,926,0.7225
mpatch_v1e_lite_lc25b,5,b,0.685,3.6572065353393555,0.6563333333333333,4.18331241607666,911,0.631667
mpatch_v1e_lite_lc25c,5,c,0.695,1.9870715141296387,0.6696666666666666,2.364638328552246,147,0.690833
mpatch_v1e_lite_lc25d,5,d,0.72,2.0479280948638916,0.6853333333333333,2.355952262878418,166,0.6525
mpatch_v1e_lite_lc30a,6,a,0.74,1.996071219444275,0.718,2.5038414001464844,427,0.705833
mpatch_v1e_lite_lc30b,6,b,0.72,2.4076149463653564,0.6756666666666666,2.8893625736236572,688,0.674167
mpatch_v1e_lite_lc30c,6,c,0.665,2.8480794429779053,0.6286666666666667,3.3070380687713623,241,0.71
mpatch_v1e_lite_lc30d,6,d,0.78,1.808323860168457,0.7423333333333333,2.2927663326263428,858,0.693333
mpatch_v1e_lite_lc35a,7,a,0.75,2.5439257621765137,0.6983333333333334,3.118633508682251,496,0.713333
mpatch_v1e_lite_lc35b,7,b,0.705,2.6578269004821777,0.6686666666666666,3.150059223175049,742,0.734167
mpatch_v1e_lite_lc35c,7,c,0.725,2.3587212562561035,0.6986666666666667,2.889869451522827,373,0.73
mpatch_v1e_lite_lc35d,7,d,0.73,2.179727077484131,0.675,2.7731595039367676,565,0.739167
