model_key,lc_n_per_class,rep,patch_accuracy,image_accuracy,best_epoch,best_val_acc
mpatch_v1e_lite_lc05a,1,a,0.392,0.38,0,0.405833
mpatch_v1e_lite_lc05b,1,b,0.431,0.46,330,0.438333
mpatch_v1e_lite_lc05c,1,c,0.37833333333333335,0.41,132,0.4925
mpatch_v1e_lite_lc05d,1,d,0.4083333333333333,0.435,54,0.56
mpatch_v1e_lite_lc10a,2,a,0.5093333333333333,0.515,96,0.538333
mpatch_v1e_lite_lc10b,2,b,0.645,0.645,181,0.553333
mpatch_v1e_lite_lc10c,2,c,0.43233333333333335,0.445,157,0.5475
mpatch_v1e_lite_lc10d,2,d,0.409,0.44,135,0.528333
mpatch_v1e_lite_lc15a,3,a,0.5633333333333334,0.59,463,0.579167
mpatch_v1e_lite_lc15b,3,b,0.5706666666666667,0.615,303,0.5575
mpatch_v1e_lite_lc15c,3,c,0.6326666666666667,0.675,713,0.581667
mpatch_v1e_lite_lc15d,3,d,0.636,0.7,989,0.538333
mpatch_v1e_lite_lc20a,4,a,0.6676666666666666,0.695,466,0.650833
mpatch_v1e_lite_lc20b,4,b,0.7076666666666667,0.76,472,0.6925
mpatch_v1e_lite_lc20c,4,c,0.7176666666666667,0.765,298,0.653333
mpatch_v1e_lite_lc20d,4,d,0.6076666666666667,0.64,841,0.635833
mpatch_v1e_lite_lc25a,5,a,0.6456666666666667,0.695,926,0.7225
mpatch_v1e_lite_lc25b,5,b,0.6563333333333333,0.685,911,0.631667
mpatch_v1e_lite_lc25c,5,c,0.6696666666666666,0.695,147,0.690833
mpatch_v1e_lite_lc25d,5,d,0.6853333333333333,0.72,166,0.6525
mpatch_v1e_lite_lc30a,6,a,0.718,0.74,427,0.705833
mpatch_v1e_lite_lc30b,6,b,0.6756666666666666,0.72,688,0.674167
mpatch_v1e_lite_lc30c,6,c,0.6286666666666667,0.665,241,0.71
mpatch_v1e_lite_lc30d,6,d,0.7423333333333333,0.78,858,0.693333
mpatch_v1e_lite_lc35a,7,a,0.6983333333333334,0.75,496,0.713333
mpatch_v1e_lite_lc35b,7,b,0.6686666666666666,0.705,742,0.734167
mpatch_v1e_lite_lc35c,7,c,0.6986666666666667,0.725,373,0.73
mpatch_v1e_lite_lc35d,7,d,0.675,0.73,565,0.739167
